key,kn,type
Kumarganj,ಕುಮಾರ್ಗಂಜ್,string
Kumargram (ST),ಕುಮಾರಗ್ರಾಮ್ (ಎಸ್‌ಟಿ),string
Kumbakonam,ಕುಂಭಕೋಣಂ,string
Kundara,ಕುಂದರ,string
Kunnam,ಕುನ್ನಮ್,string
Kunnamangalam,ಕುನ್ನಮಂಗಲಂ,string
Kunnamkulam,ಕುನ್ನಂಕುಲಂ,string
Kunnathunad,ಕುನ್ನತುನಾಡ್,string
Kunnathur,ಕುನ್ನತ್ತೂರು,string
Kurinjipadi,ಕುರಿಂಜಿಪಾಡಿ,string
Kurseong,ಕುರ್ಸಿಯೊಂಗ್,string
Kurukkoli Moideen,ಕುರುಕ್ಕೋಳಿ ಮೊಯ್ದೀನ್,string
Kushmandi (SC),ಕೂಷ್ಮಾಂಡಿ (ಎಸ್‌ಸಿ),string
Kuthuparamba,ಕುತ್ತುಪರಂಬ,string
Kuttanad,ಕುಟ್ಟನಾಡ್,string
Kuttiady,ಕುಟ್ಟಿಯಾಡಿ,string
L. Sambath,ಎಲ್.ಸಂಬತ್,string
LAHARIGHAT,ಲಹರಿಘಾಟ್,string
LAKHIMPUR,ಲಖೀಂಪುರ,string
LAKHIPUR,ಲಖೀಪುರ,string
LDF,ಎಲ್ಡಿಎಫ್,string
LJD,LJD,string
LUMDING,ಲುಮ್ಡಿಂಗ್,string
Labpur,ಲ್ಯಾಬ್ಪುರ್,string
Laharighat,ಲಹರಿಘಾಟ್,string
Lahowal,ಲಾಹೋವಲ್,string
Lakhimpur,ಲಖಿಂಪುರ,string
Lakhipur,ಲಖಿಪುರ,string
Lakshman Chandra Ghorui,ಲಕ್ಷ್ಮಣ್ ಚಂದ್ರ ಘೋರುಯಿ,string
Lalgola,ಲಾಲ್ಗೋಳ,string
Lalgudi,ಲಾಲ್ಗುಡಿ,string
Lawrence Islary,ಲಾರೆನ್ಸ್ ಇಸ್ಲಾರಿ,string
Lawspet,ಲಾಸ್ಪೆಟ್,string
Laxmi Ratan Shukla,ಲಕ್ಷ್ಮಿ ರತನ್ ಶುಕ್ಲಾ,string
Leho Ram Boro,ಲೆಹೋ ರಾಮ್ ಬೋರೋ,string
Linto Joseph,ಲಿಂಟೋ ಜೋಸೆಫ್,string
Loganathan.G,ಲೋಗನಾಥನ್.ಜಿ,string
Lumding,ಲುಮ್ಡಿಂಗ್,string
M. Abdul Wahab,ಎಂ ಅಬ್ದುಲ್ ವಹಾಬ್,string
M. Appavu,ಎಂ.ಅಪ್ಪಾವು,string
M. B. Rajesh,ಎಂ ಬಿ ರಾಜೇಶ್,string
M. Babu,ಎಂ.ಬಾಬು,string
M. Boominathan,ಎಂ. ಬೂಮಿನಾಥನ್,string
M. C. Shunmugaiah,ಎಂ ಸಿ ಶುಣ್ಮುಗಯ್ಯ,string
M. Candassamy,ಎಂ. ಚಂದಸಾಮಿ,string
M. Chakrapani,ಎಂ.ಚಕ್ರಪಾಣಿ,string
M. Chandra Prabha,ಎಂ. ಚಂದ್ರಪ್ರಭಾ,string
M. Chinnadurai,ಎಂ. ಚಿನ್ನದೊರೈ,string
M. Jaganmoorthy,ಎಂ ಜಗನ್ಮೂರ್ತಿ,string
M. K. Mohan,ಎಂ ಕೆ ಮೋಹನ್,string
M. K. Muneer,ಎಂ.ಕೆ.ಮುನೀರ್,string
M. K. Stalin,ಎಂ ಕೆ ಸ್ಟಾಲಿನ್,string
M. M. Mani,ಎಂ ಎಂ ಮಣಿ,string
M. Mathiventhan,ಎಂ. ಮತಿವೆಂಥನ್,string
M. Mukesh,ಎಂ. ಮುಖೇಶ್,string
M. N. R. Balan,ಎಂ.ಎನ್.ಆರ್.ಬಾಲನ್,string
M. Nagathiyagarajan,ಎಂ.ನಾಗತಿಯಾಗರಾಜನ್,string
M. Noushad,ಎಂ.ನೌಶಾದ್,string
M. Nuruzzaman,ಎಂ. ನೂರುಜ್ಜಮಾನ್,string
M. O. H. F. Shahjahan,M. O. H. F. ಷಹಜಹಾನ್,string
M. P. Giri,ಎಂ.ಪಿ.ಗಿರಿ,string
M. P. Saminathan,ಎಂ.ಪಿ.ಸಮಿನಾಥನ್,string
M. Palaniyandi,ಎಂ.ಪಳನಿಯಾಂಡಿ,string
M. Panneerselvam,ಎಂ. ಪನ್ನೀರಸೆಲ್ವಂ,string
M. Prabhakaran,ಎಂ. ಪ್ರಭಾಕರನ್,string
M. R. K. Panneerselvam,ಎಂಆರ್ ಕೆ ಪನ್ನೀರಸೆಲ್ವಂ,string
M. Rajagopalan,ಎಂ.ರಾಜಗೋಪಾಲನ್,string
M. Rajamuthu,ಎಂ.ರಾಜಮುತ್ತು,string
M. S. Arun Kumar,ಎಂ ಎಸ್ ಅರುಣ್ ಕುಮಾರ್,string
M. S. M. Anandan,ಎಂ.ಎಸ್.ಎಂ.ಆನಂದನ್,string
M. Senthilkumar,ಎಂ.ಸೆಂಥಿಲ್ಕುಮಾರ್,string
M. Sivasankar,ಎಂ. ಶಿವಶಂಕರ್,string
M. Subramaniam,ಎಂ. ಸುಬ್ರಮಣ್ಯಂ,string
M. Swaraj,ಎಂ. ಸ್ವರಾಜ್,string
M. Ummer,ಎಂ. ಉಮ್ಮರ್,string
M. V. Govindan,ಎಂ.ವಿ.ಗೋವಿಂದನ್,string
M. V. Omalingam,ಎಂ.ವಿ.ಓಮಲಿಂಗಂ,string
M. Vaithianathan,ಎಂ.ವೈತಿನಾಥನ್,string
M. Varalakshmi,ಎಂ.ವರಲಕ್ಷ್ಮಿ,string
M. Vijin,ಎಂ.ವಿಜಿನ್,string
M. Vincent,ಎಂ. ವಿನ್ಸೆಂಟ್,string
M.Rengasamy,ಎಂ.ರೆಂಗಸಾಮಿ,string
MAHAJOT,ಮಹಾಜೋತ್,string
MAHMORA,ಮಹ್ಮೋರಾ,string
MAJULI (ST),ಮಜುಲಿ (ಎಸ್‌ಟಿ),string
MAKUM,ಮಕುಮ್,string
MANAS,ಮನಸ್,string
MANDIA,ಮಂಡ್ಯ,string
MANGALDAI,ಮಂಗಳದಾಯಿ,string
MANKACHAR,ಮಂಕಚಾರ್,string
MARGHERITA,ಮಾರ್ಗರಿಟಾ,string
MARIANI,ಮರಿಯಾನಿ,string
MAZBAT,MAZBAT,string
MORIGAON,ಮೊರಿಗಾಂವ್,string
Ma.Subramanian,ಮಾ.ಸುಬ್ರಮಣಿಯನ್,string
Madan Mitra,ಮದನ್ ಮಿತ್ರ,string
Madarihat (ST),ಮದರಿಹತ್ (ಎಸ್‌ಟಿ),string
Madathukulam,ಮಡತುಕುಲಂ,string
Madavaram,ಮಾದವರಂ,string
Madhusudan Bag,ಮಧುಸೂದನ್ ಬ್ಯಾಗ್,string
Madhusudan Bhattacharya,ಮಧುಸೂದನ್ ಭಟ್ಟಾಚಾರ್ಯ,string
Madhusudan Ghose,ಮಧುಸೂದನ್ ಘೋಸ್,string
Madhyamgram,ಮಧ್ಯಮಗ್ರಾಮ,string
Madurai,ಮಧುರೈ,string
Madurai Central,ಮಧುರೈ ಸೆಂಟ್ರಲ್,string
Madurai East,ಮಧುರೈ ಪೂರ್ವ,string
Madurai North,ಮಧುರೈ ಉತ್ತರ,string
Madurai South,ಮಧುರೈ ದಕ್ಷಿಣ,string
Madurai West,ಮಧುರೈ ಪಶ್ಚಿಮ,string
Madurantakam (SC),ಮಧುರಾಂತಕಂ (ಎಸ್‌ಸಿ),string
Maduravoyal,ಮಧುರವಾಯಲ್,string
Magrahat Paschim,ಮಗ್ರಾಹತ್ ಪಶ್ಚಿಮ,string
Magrahat Purba (SC),ಮಗ್ರಹತ್ ಪುರ್ಬಾ (ಎಸ್‌ಸಿ),string
Mahasin Ali,ಮಹಾಸಿನ್ ಅಲಿ,string
Mahe,ಮಾಹೆ,string
Maheshtala,ಮಹೇಸ್ತಲ,string
Mahisadal,ಮಹಿಸದಲ್,string
Mahmara,ಮಹ್ಮಾರಾ,string
Mahua Moitra,ಮಹುವಾ ಮೊಯಿತ್ರಾ,string
Mailam,ಮೈಲಂ,string
Mainul Haque,ಮೈನುಲ್ ಹಕ್,string
Majbat,ಮಜ್ಬತ್,string
Majendra Narzary,ಮಜೇಂದ್ರ ನರ್ಜಾರಿ,string
Majuli,ಮಜುಲಿ,string
Majuli (ST),ಮಜುಲಿ (ಎಸ್‌ಟಿ),string
Mal (ST),ಮಾಲ್ (ಎಸ್‌ಟಿ),string
Mala Saha,ಮಾಲಾ ಸಹಾ,string
Malampuzha,ಮಲಂಪುಳ,string
Malappuram,ಮಲಪ್ಪುರಂ,string
Malati Rava Roy,ಮಾಲತಿ ರಾವ ರಾಯ್,string
Malatipur,ಮಾಲತೀಪುರ,string
Maldah,ಮಾಲ್ಡಾ,string
Maldaha (SC),ಮಲ್ದಹಾ (ಎಸ್‌ಸಿ),string
Malladi Krishna Rao,ಮಲ್ಲಾಡಿ ಕೃಷ್ಣರಾವ್,string
Mamata Banerjee,ಮಮತಾ ಬ್ಯಾನರ್ಜಿ,string
Mamata Bhunia,ಮಮತಾ ಭುನಿಯಾ,string
Manab Deka,ಮನಬ್ ದೇಕಾ,string
Manachanallur,ಮನಚನಲ್ಲೂರು,string
Manalur,ಮಣಲೂರು,string
Manamadurai (SC),ಮನಮದುರೈ (ಎಸ್‌ಸಿ),string
Mananthavady,ಮಾನಂತವಾಡಿ,string
Manapaarai,ಮನಪಾರೈ,string
Manas Bhunia,ಮಾನಸ್ ಭುನಿಯಾ,string
Manas Majumdar,ಮಾನಸ್ ಮಜುಂದಾರ್,string
Manash Mukherjee,ಮನಶ್ ಮುಖರ್ಜಿ,string
Manavely,ಮನವೇಲಿ,string
Manbazar (ST),ಮಾಂಬಜಾರ್ (ಎಸ್‌ಟಿ),string
Mandirbazar (SC),ಮಂದಿರಬಜಾರ್ (ಎಸ್‌ಸಿ),string
Mangalam,ಮಂಗಳಂ,string
Mangaldoi (SC),ಮಂಗಲ್ದೋಯ್ (ಎಸ್‌ಸಿ),string
Mangalkot,ಮಂಗಲಕೋಟ್,string
Mangobinda Adhikari,ಮಂಗೋಬಿಂದ ಅಧಿಕಾರಿ,string
Mani C. Kappan,ಮಣಿ ಸಿ. ಕಪ್ಪನ್,string
Manian.O.S,ಮಣಿಯನ್.ಒ.ಎಸ್,string
Manik Bhattacharya,ಮಾಣಿಕ್ ಭಟ್ಟಾಚಾರ್ಯ,string
Manikchak,ಮಾಣಿಕ್ಚಾಕ್,string
Maniktala,ಮಾಣಿಕ್ತಾಲಾ,string
Manirul Islam,ಮಣಿರುಲ್ ಇಸ್ಲಾಂ,string
Manjalamkuzhi Ali,ಮಂಜಾಲಂಕುಜಿ ಅಲಿ,string
Manjeri,ಮಂಜೇರಿ,string
Manjeshwaram,ಮಂಜೇಶ್ವರಂ,string
Manju Basu,ಮಂಜು ಬಸು,string
Mankachar,ಮಂಕಚಾರ್,string
Mankada,ಮಂಕಡ,string
Mannadipet,ಮನ್ನಾಡಿಪೇಟೆ,string
Mannargudi,ಮನ್ನಾರ್ಗುಡಿ,string
Mannarkkad,ಮನ್ನಾರ್ಕ್ಕಾಡ್,string
Mano Thangaraj,ಮನೋ ತಂಗರಾಜ್,string
Manodeb Sinha,ಮನೋದೇಬ್ ಸಿನ್ಹಾ,string
Manoharan A.,ಮನೋಹರನ್ ಎ.,string
Manoj Chakraborty,ಮನೋಜ್ ಚಕ್ರವರ್ತಿ,string
Manoj Kumar Oraon,ಮನೋಜ್ ಕುಮಾರ್ ಓರಾನ್,string
Manoj Tigga,ಮನೋಜ್ ತಿಗ್ಗಾ,string
Manoj Tiwary,ಮನೋಜ್ ತಿವಾರಿ,string
Manonmani.P,ಮನೋನ್ಮಣಿ.ಪಿ,string
Manoranjan Byapari,ಮನೋರಂಜನ್ ಬೈಪಾರಿ,string
Manoranjan Talukdar,ಮನೋರಂಜನ್ ತಾಲೂಕದಾರ್,string
Manturam Pakhira,ಮಂತುರಾಮ್ ಪಖೀರ,string
Maragatham Kumaravel,ಮರಗತಮ್ ಕುಮಾರವೇಲ್,string
Margherita,ಮಾರ್ಗರಿಟಾ,string
Mariani,ಮರಿಯಾನಿ,string
Mariappankennady S,ಮರಿಯಪ್ಪನಕೆನ್ನಾಡಿ ಎಸ್,string
Marigaon,ಮರಿಗಾಂವ್,string
Maruthamuthu.A,ಮಾರುತಮುತ್ತು.ಎ,string
Masilamani R,ಮಾಸಿಲಾಮಣಿ ಆರ್,string
Mathabhanga (SC),ಮಠಭಂಗ (ಎಸ್‌ಸಿ),string
Mathew Kuzhalnadan,ಮ್ಯಾಥ್ಯೂ ಕುಜಲನಾಡನ್,string
Mathew T. Thomas,ಮ್ಯಾಥ್ಯೂ ಟಿ. ಥಾಮಸ್,string
Mathivanan.U,ಮತಿವನನ್.ಯು,string
Matigara-Naxalbari (SC),ಮಟಿಗಾರ-ನಕ್ಸಲ್ಬರಿ (ಎಸ್‌ಸಿ),string
Mattanur,ಮಟ್ಟನೂರು,string
Mavelikara,ಮಾವೇಲಿಕರ,string
Mayiladuturai,ಮೈಲಾಡುತುರೈ,string
Maynaguri (SC),ಮೇನಗುರಿ (ಎಸ್‌ಸಿ),string
Mayureswar,ಮಯೂರೇಶ್ವರ,string
Mazibur Rahman,ಮಜಿಬುರ್ ರೆಹಮಾನ್,string
Md. Abdur Rashid Mandal,ಎಂಡಿ ಅಬ್ದುರ್ ರಶೀದ್ ಮಂಡಲ್,string
Md. Ghulam Rabbani,Md. ಗುಲಾಮ್ ರಬ್ಬಾನಿ,string
Md. Mottakin Alam,Md. ಮೊಟ್ಟಕಿನ್ ಆಲಂ,string
Medinipur,ಮೇದಿನಿಪುರ,string
Mekliganj (SC),ಮೆಕ್ಲಿಗಂಜ್ (ಎಸ್‌ಸಿ),string
Melur,ಮೇಲೂರು,string
Memari,ಮೆಮರಿ,string
Metiaburuz,ಮೆಟಿಯಾಬುರುಜ್,string
Mettupalayam,ಮೆಟ್ಟುಪಾಳ್ಯಂ,string
Mettur,ಮೆಟ್ಟೂರು,string
Meyyanathan .Siva .V,ಮೆಯ್ಯನಾಥನ್ .ಶಿವ .ವಿ,string
Meyyanathan Siva V,ಮೆಯ್ಯನಾಥ ಶಿವ ವಿ,string
Mihir Goswami,ಮಿಹಿರ್ ಗೋಸ್ವಾಮಿ,string
Mihir Kanti Shome,ಮಿಹಿರ್ ಕಾಂತಿ ಶೋಮ್,string
Miltan Rasid,ಮಿಲ್ತಾನ್ ರಸೀದ್,string
Minakhan (SC),ಮಿನಾಖಾನ್ (ಎಸ್‌ಸಿ),string
Minhajul Arfin Azad,ಮಿನ್ಹಾಜುಲ್ ಅರ್ಫಿನ್ ಆಜಾದ್,string
Misbahul Islam Laskar,ಮಿಸ್ಬಾಹುಲ್ ಇಸ್ಲಾಂ ಲಸ್ಕರ್,string
Mitali Roy,ಮಿತಾಲಿ ರಾಯ್,string
Modakkurichi,ಮೊಡಕುರಿಚಿ,string
Mohammad Ali,ಮೊಹಮ್ಮದ್ ಅಲಿ,string
Mohammad Ghulam Rabbani,ಮೊಹಮ್ಮದ್ ಗುಲಾಮ್ ರಬ್ಬಾನಿ,string
Mohan Chandra Naskar,ಮೋಹನ್ ಚಂದ್ರ ನಾಸ್ಕರ್,string
Mohan K,ಮೋಹನ್ ಕೆ,string
Mohit Sengupta,ಮೋಹಿತ್ ಸೆಂಗುಪ್ತಾ,string
Moinuddin Shams,ಮೊಯಿನುದ್ದೀನ್ ಶಾಮ್ಸ್,string
Moloy Ghatak,ಮೊಲೊಯ್ ಘಟಕ್,string
Monce Joseph,ಮಾನ್ಸ್ ಜೋಸೆಫ್,string
Mons Joseph,ಮಾನ್ಸ್ ಜೋಸೆಫ್,string
Monteswar,ಮಾಂಟೆೇಶ್ವರ,string
Moorthiy K S,ಮೂರ್ತಿ ಕೆ ಎಸ್,string
Moran,ಮೊರನ್,string
Morigaon,ಮೋರಿಗಾಂವ್,string
Mosarraf Hossain,ಮೊಸರಫ್ ಹೊಸೈನ್,string
Mostaque Alam,ಮೊಸ್ತಾಕ್ ಆಲಂ,string
Mothabari,ಮೋತಾಬರಿ,string
Moyna,ಮೊಯ್ನಾ,string
Mrigendra Nath Maiti,ಮೃಗೇಂದ್ರ ನಾಥ್ ಮೈತಿ,string
Mrinal Saikia,ಮೃಣಾಲ್ ಸೈಕಿಯಾ,string
Mrityunjoy Murmu,ಮೃತ್ಯುಂಜಯ್ ಮುರ್ಮು,string
Mudaliarpet,ಮುದಲಿಯಾರಪೇಟೆ,string
Mudhukulathur,ಮುದುಕುಳತ್ತೂರು,string
Muhammad Abdul Ghani,ಮುಹಮ್ಮದ್ ಅಬ್ದುಲ್ ಘನಿ,string
Muhammad Muhassin,ಮುಹಮ್ಮದ್ ಮುಹಾಸಿನ್,string
Muhammed Muhsin,ಮುಹಮ್ಮದ್ ಮುಹ್ಸಿನ್,string
Mukesh,ಮುಖೇಶ್,string
Mukul Roy,ಮುಕುಲ್ ರಾಯ್,string
Mukut Mani Adhikari,ಮುಕುತ್ ಮಣಿ ಅಧಿಕಾರಿ,string
Mullakkara Ratnakaran,ಮುಲ್ಲಕ್ಕರ ರತ್ನಾಕರನ್,string
Murali Perunelly,ಮುರಳಿ ಪೆರುನೆಲ್ಲಿ,string
Murarai,ಮುರಾರೈ,string
Murshidabad,ಮುರ್ಷಿದಾಬಾದ್,string
Murugan P,ಮುರುಗನ್ ಪಿ,string
Murugumaran.N,ಮುರುಗುಮಾರನ್.ಎನ್,string
Musiri,ಮುಸಿರಿ,string
Muthialpet,ಮುತ್ಯಾಲಪೇಟೆ,string
Muvattupuzha,ಮುವಾಟ್ಟುಪುಳ,string
Mylapore,ಮೈಲಾಪುರ,string
N. A. Nellikkunnu,ಎನ್.ಎ.ನೆಲ್ಲಿಕ್ಕುನ್ನು,string
N. Danavelou,ಎನ್. ದಾನವೇಲು,string
N. Eramakrishnan,ಎನ್.ಎರಾಮಕೃಷ್ಣನ್,string
N. G. Parthiban,ಎನ್ ಜಿ ಪಾರ್ತಿಬನ್,string
N. Jayaraj,ಎನ್.ಜಯರಾಜ್,string
N. K. Akbar,ಎನ್ ಕೆ ಅಕ್ಬರ್,string
N. Kayalvizhi,ಎನ್.ಕಯಲ್ವಿಝಿ,string
N. Pugazhenthi,ಎನ್. ಪುಗಜೆಂತಿ,string
N. Rangasamy,ಎನ್.ರಂಗಸಾಮಿ,string
N. Rangaswamy,ಎನ್.ರಂಗಸ್ವಾಮಿ,string
N. S. J. Jayabal Ayyanar,ಎನ್ ಎಸ್ ಜೆ ಜಯಬಾಲ್ ಅಯ್ಯನಾರ್,string
N. Samsudheen,ಎನ್.ಸಂಸುದ್ದೀನ್,string
N. Shamsudheen,ಎನ್. ಶಂಶುದ್ದೀನ್,string
N. Suresh Rajan,ಎನ್. ಸುರೇಶ್ ರಾಜನ್,string
N. Thalavai Sundaram,ಎನ್. ತಲವಾಯಿ ಸುಂದರಂ,string
N. Thiyagarajan,ಎನ್.ತ್ಯಾಗರಾಜನ್,string
N. Vijayan Pillai,ಎನ್.ವಿಜಯನ್ ಪಿಳ್ಳೈ,string
N.Manoranjitham,ಎನ್.ಮನೋರಂಜಿತಮ್,string
NADUAR,ನಡುಅರ್,string
NAGAON-BATADRABA,ನಾಗಾಂವ್-ಬಟಾದ್ರಬಾ,string
NAHARKATIA,ನಹರ್ಕಟಿಯಾ,string
NALBARI,ನಲ್ಬರಿ,string
NAZIRA,ನಜೀರಾ,string
NCK,ಎನ್.ಸಿ.ಕೆ,string
NCP,ಎನ್ಸಿಪಿ,string
NDA,ಎನ್.ಡಿ.ಎ,string
NEW GUWAHATI,ಹೊಸ ಗುವಾಹಟಿ,string
NOWBOICHA (SC),ನೌಬೊಯಿಚಾ (ಎಸ್‌ಸಿ),string
NSC,NSC,string
Naba Kumar Doley,ನಬ ಕುಮಾರ್ ಡೋಲಿ,string
Nabadwip,ನಬದ್ವಿಪ್,string
Nabagram (SC),ನಬಗ್ರಾಮ್ (ಎಸ್‌ಸಿ),string
Nabin Chandra Bag,ನಬಿನ್ ಚಂದ್ರ ಬಾಗ್,string
Nadapuram,ನಾದಪುರಂ,string
Nadia,ನಾಡಿಯಾ,string
Nadiar Chand Bouri,ನಾಡಿಯಾರ್ ಚಂದ್ ಬೌರಿ,string
Nagai Maali (A) P. Mahalingam,ನಾಗೈ ಮಾಳಿ (ಎ) ಪಿ.ಮಹಾಲಿಂಗಂ,string
Nagaon,ನಾಗಾನ್,string
Nagapattinam,ನಾಗಪಟ್ಟಿಣಂ,string
Nagendra Nath Roy,ನಾಗೇಂದ್ರ ನಾಥ್ ರಾಯ್,string
Nagercoil,ನಾಗರಕೋಯಿಲ್,string
Nagrakata (ST),ನಾಗರಕಟಾ (ಎಸ್‌ಟಿ),string
Naharkatia,ನಹರ್ಕಟಿಯಾ,string
Naihati,ನೈಹತಿ,string
Nainar Nagendran,ನೈನಾರ್ ನಾಗೇಂದ್ರನ್,string
Najeeb Kanthapuram,ನಜೀಬ್ ಕಾಂತಪುರಂ,string
Najrul Hoque,ನಜ್ರುಲ್ ಹೊಕ್,string
Nakashipara,ನಕಾಶಿಪರಾ,string
Nalbari,ನಲ್ಬರಿ,string
Nalhati,ನಲ್ಹಾಟಿ,string
Nallathambi. A,ನಲ್ಲತಂಬಿ. ಎ,string
Namakkal,ನಾಮಕ್ಕಲ್,string
Namita Saha,ನಮಿತಾ ಸಹಾ,string
Nandakumar,ನಂದಕುಮಾರ್,string
Nandakumar. A.P,ನಂದಕುಮಾರ್. ಎ.ಪಿ,string
Nandigram,ನಂದಿಗ್ರಾಮ,string
Nandita Chowdhury,ನಂದಿತಾ ಚೌಧರಿ,string
Nandita Das,ನಂದಿತಾ ದಾಸ್,string
Nandita Garlosa,ನಂದಿತಾ ಗರ್ಲೋಸಾ,string
Nanguneri,ನಂಗುನೇರಿ,string
Nannilam,ನನ್ನಿಲಂ,string
Nanoor (SC),ನಾನೂರು (ಎಸ್‌ಸಿ),string
Naoboicha,ನವೊಬೊಯಿಚಾ,string
Naoda,ನಾವಡ,string
Narahari Mahato,ನರಹರಿ ಮಹತೋ,string
Narayan Goswami,ನಾರಾಯಣ ಗೋಸ್ವಾಮಿ,string
Narayangarh,ನಾರಾಯಣಗಢ,string
Naren Sonowal,ನರೇನ್ ಸೋನೋವಾಲ್,string
Narendranath Chakraborty,ನರೇಂದ್ರನಾಥ ಚಕ್ರವರ್ತಿ,string
Narmada Chandra Roy,ನರ್ಮದಾ ಚಂದ್ರ ರಾಯ್,string
Nasiruddin Ahamed,ನಾಸಿರುದ್ದೀನ್ ಅಹಮದ್,string
Natabari,ನಟಬರಿ,string
Natarajan .N.,ನಟರಾಜನ್ .ಎನ್.,string
Natarajan. A,ನಟರಾಜನ್. ಎ,string
Natham,ನಾಥಮ್,string
Natham R. Viswanathan,ನಾಥಮ್ ಆರ್. ವಿಶ್ವನಾಥನ್,string
National Secular Conference,ರಾಷ್ಟ್ರೀಯ ಜಾತ್ಯತೀತ ಸಮ್ಮೇಳನ,string
Nattika,ನಾಟಿಕ,string
Nawsad Siddique,ನೌಸಾದ್ ಸಿದ್ದಿಕ್,string
Nayagram (ST),ನಯಗ್ರಾಮ್ (ಎಸ್‌ಟಿ),string
Nayna Bandyopadhyay,ನಯ್ನಾ ಬಂದೋಪಾಧ್ಯಾಯ,string
Nazira,ನಜೀರಾ,string
Nazrul Hoque,ನಜ್ರುಲ್ ಹೊಕ್,string
Nazrul Islam,ನಜ್ರುಲ್ ಇಸ್ಲಾಂ,string
Nedumangad,ನೆಡುಮಂಗಡ,string
Nedungadu (SC),ನೆಡುಂಗಾಡು (ಎಸ್‌ಸಿ),string
Neeraj Zimba,ನೀರಜ್ ಜಿಂಬಾ,string
Neethipathi P,ನೀತಿಪತಿ ಪಿ,string
Nehru.K.N,ನೆಹರು.ಕೆ.ಎನ್,string
Nellithope,ನೆಲ್ಲಿತೋಪೆ,string
Nemom,ನೆಮೊಮ್,string
Nenmara,ನೆನ್ಮಾರ,string
Nepal Ghorui,ನೇಪಾಳ ಘೋರುಯಿ,string
Nepal Mahata,ನೇಪಾಳ ಮಹಾತಾ,string
Neravy T.R. Pattinam,ನೆರವಿ ಟಿ.ಆರ್. ಪತ್ತಿನಂ,string
Nettapakkam (SC),ನೆಟ್ಟಪಕ್ಕಂ (ಎಸ್‌ಸಿ),string
Neyveli,ನೆಯ್ವೇಲಿ,string
Neyyattinkara,ನೆಯ್ಯಟ್ಟಿಂಕರ,string
Niamot Sheikh,ನಿಯಾಮೋತ್ ಶೇಖ್,string
Nihar Ranjan Ghosh,ನಿಹಾರ್ ರಂಜನ್ ಘೋಷ್,string
Nijanur Rahman,ನಿಜನೂರ್ ರೆಹಮಾನ್,string
Nikhil Ranjan Dey,ನಿಖಿಲ್ ರಂಜನ್ ಡೇ,string
Nilabati Saha,ನೀಲಬತಿ ಸಹಾ,string
Niladri Sekhar Dana,ನೀಲಾದ್ರಿ ಶೇಖರ್ ದಾನಾ,string
Nilakottai,ನೀಲಕೊಟ್ಟೈ,string
Nilambur,ನಿಲಂಬೂರ್,string
Nilima Nag,ನಿಲಿಮಾ ನಾಗ್,string
Nilofer,ನಿಲೋಫರ್,string
Nirmal Chandra Mondal,ನಿರ್ಮಲ್ ಚಂದ್ರ ಮಂಡಲ್,string
Nirmal Ghosh,ನಿರ್ಮಲ್ ಘೋಷ್,string
Nirmal Kumar Dhara,ನಿರ್ಮಲ್ ಕುಮಾರ್ ಧಾರಾ,string
Nirmal Maji,ನಿರ್ಮಲ್ ಮಜಿ,string
Nisith Kumar Malik,ನಿಸಿತ್ ಕುಮಾರ್ ಮಲಿಕ್,string
Nisith Pramanik,ನಿಸಿತ್ ಪ್ರಮಾಣಿಕ್,string
Nivedha M. Murugan,ನಿವೇಧಾ ಎಂ. ಮುರುಗನ್,string
Nizamuddin Choudhury,ನಿಜಾಮುದ್ದೀನ್ ಚೌಧರಿ,string
Noapara,ನೋಪರಾ,string
North 24 Parganas,ಉತ್ತರ 24 ಪರಗಣಗಳು,string
Nowgong,ನೌಗಾಂಗ್,string
Numal Momin,ನುಮಲ್ ಮೊಮಿನ್,string
Nurul Huda,ನೂರುಲ್ ಹುದಾ,string
O. Jothi,O. ಜೋತಿ,string
O. Panneerselvam,ಓ.ಪನ್ನೀರಸೆಲ್ವಂ,string
O. R. Kelu,ಓ.ಆರ್.ಕೇಲು,string
O. Rajagopal,ಓ.ರಾಜಗೋಪಾಲ್,string
O. S. Ambika,ಓ.ಎಸ್.ಅಂಬಿಕಾ,string
O. S. Manian,ಓ ಎಸ್ ಮಣಿಯನ್,string
OTH,OTH,string
Oddanchatram,ಒಡ್ಡಂಚತ್ರಂ,string
Ollur,ಒಲ್ಲೂರು,string
Omalur,ಓಮಲೂರು,string
Onda,ಒಂದಾ,string
Oommen Chandy,ಉಮ್ಮನ್ ಚಾಂಡಿ,string
Oorvasi S. Amirtharaj,ಊರ್ವಸಿ ಎಸ್.ಅಮಿರ್ತರಾಜ್,string
Orathanadu,ಒರತನಾಡು,string
Orleampeth,ಓರ್ಲೀಮ್ಪೆತ್,string
Ossudu (SC),ಒಸ್ಸುಡು (ಎಸ್‌ಸಿ),string
Ottapalam,ಒಟ್ಟಪಾಲಂ,string
Ottapidaram (SC),ಒಟ್ಟಪಿಡಾರಂ (ಎಸ್‌ಸಿ),string
Oupalam,ಊಪಲಂ,string
Ozhukarai,ಓಝುಕರೈ,string
P. A. Mohammed Riyas,ಪಿ ಎ ಮೊಹಮ್ಮದ್ ರಿಯಾಸ್,string
P. Abdul Hameed,ಪಿ.ಅಬ್ದುಲ್ ಹಮೀದ್,string
P. Abdul Samad,ಪಿ.ಅಬ್ದುಲ್ ಸಮದ್,string
